"treatment_id","S_AIC","N_AIC","DA_AIC","FU_AIC"
"2007Lis165_1a",103.20988,99.034378,103.9211,97.487717
"2012Laz164_3",551.39502,487.92297,515.58582,489.91913
"2013Kru001_1a",215.31009,210.02052,213.45116,211.83302
"2016Kim003_7",329.68552,289.306,294.01318,281.55856
"2017Del037_1",103.42546,91.567253,86.406265,88.405907
"2017Fro073_1",416.88715,418.88617,417.33298,410.60989
"2017Gac013_2",229.96927,220.03888,229.96927,220.03888
"2017Gac013_4",230.42749,223.73903,230.42749,223.73903
"2017Tho028_1",251.79283,250.76553,251.79283,250.76553
"2018Her061_9",127.55087,119.22826,125.10174,120.33194
"2019Cha026_1",255.00935,221.73816,248.20792,203.70059
"2020Bas115_2a",536.68311,457.09781,488.76755,454.5704
"2023Eck169_1a",1604.3662,1257.0031,1416.3878,1216.3469
"2023Eck169_1b",1571.1659,1419.6697,1529.4531,1297.1864
"Average",466.205581428571,411.8584115,439.3441575,397.606706714286
