"study","Design","nobs","mean_app","S_k"
"List (2007)","Between",24,0.0822510822510823,-0.309996215895322
"Lazear et al. (2012)","Between",135,0.0294296779736384,-0.231717792411142
"Krupka & Weber (2013)","Between",52,0.0609430754042927,-0.150716455448343
"Kimbrough & V. (2016)","Between",66,0.0834473324213406,-0.0965309184843075
"Della Valle et al. (2017)","Within",29,-0.111111111111111,-0.205547005799776
"Gachter et al. (2017) - Give","Between",71,-0.0453333344062167,0.233543306461608
"Gachter et al. (2017) - Take","Between",71,-0.0858823538703078,0.242476650276435
"Thomsson & V. (2017)","Within",53,-0.0423098913664952,0.152751226712338
"Chang et al. (2019)","Between",56,0.228877005471106,-0.212030386314234
"Fromell et al. (2019)","Between",126,0.270303033382604,-0.0883509940706137
"Basic et al. (2021)","Within",127,-0.0986399427344309,-0.114068378328401
"Erkut (2022)","Between",38,0.127591706539075,-0.208314681529611
"Eckel & Grossman (2023) - Class","Within",357,0.16204057454395,-0.17352878858841
"Eckel & Grossman (2023) - Fresh.","Within",353,0.243711907586393,-0.152995814056715
