treatment_id,deltaS,se_deltaS,deltaN,se_deltaN,gammaN,se_gammaN,rhoDA,se_rhoDA,sigmaDA,se_sigmaDA,rhoFU,se_rhoFU,sigmaFU,se_sigmaFU,gammaFU,se_gammaFU,S_AIC,N_AIC,DA_AIC,FU_AIC,nobs
2007Lis165_1a,.52957827,.15931816,1.4149572,.80194759,2.1633379,1.45017,.34465593,.15876697,-.045642599,.40813535,-1.0738928,.58031112,.37040004,.4443365,4.8542767,1.8924893,103.20988,99.034378,103.9211,97.487717,24
2012Laz164_3,.30479866,.029896507,1.091248,.17000487,3.1984797,.53216976,.45991579,.03110487,-.27542081,.25210023,-.041206263,.10800775,-.055683084,.25437507,3.1733851,.6401962,551.39502,487.92297,515.58582,489.91913,135
2013Kru001_1a,.29608119,.051976461,.61616212,.18974034,1.5078218,.68308979,.41432145,.049005192,.15933347,.15007235,.13403973,.16592537,.2393382,.1617882,1.8425756,1.0096092,215.31009,210.02052,213.45116,211.83302,52
2016Kim003_7,.19220082,.025541957,.95234513,.15358223,4.3492498,.76173264,.50340939,.028902715,-13.835023,.13003832,.1427581,.10671607,-7.3120899,.1011136,3.3836026,.95863438,329.68552,289.306,294.01318,281.55856,66
2017Del037_1,.19190535,.042841397,.13947536,.090786658,2.8167868,.79463184,.5760926,.057030965,-.46159822,.23559968,.5772596,.078403592,-.46693414,.4048945,-.031218717,1.6460098,103.42546,91.567253,86.406265,88.405907,29
2017Fro073_1,.51798928,.055438332,.52272618,.16664663,.022663644,.86470312,.26452896,.040448487,.085748345,.21394259,1.0943595,.26276666,-.07171727,.22825398,-6.3741632,2.1237948,416.88715,418.88617,417.33298,410.60989,126
2017Gac013_2,.06349092,.097719386,13.313226,4.8468184,34.511745,12.675963,.46825454,.048859693,0,0,-6.1566129,2.4234092,0,0,34.511745,12.675963,229.96927,220.03888,229.96927,220.03888,71
2017Gac013_4,.028178705,.098829925,1.5722675,.52869725,3.6893213,1.2353235,.48591065,.049414963,0,0,-.2861338,.26434863,0,0,3.6893213,1.2353235,230.42749,223.73903,230.42749,223.73903,71
2017Tho028_1,.092117563,.050334308,.58178937,.31652689,3.06408,1.9513805,.45394123,.025167154,0,0,.20910515,.15826343,0,0,3.0640826,1.9513801,251.79283,250.76553,251.79283,250.76553,53
2018Her061_9,.51465046,.094211839,1.8670039,.52188462,4.9146137,1.6602104,.30289504,.068950951,-7.2129984,.25836515,-.35825554,.29997814,-6.8189368,.19228296,4.4755249,1.8620344,127.55087,119.22826,125.10174,120.33194,38
2019Cha026_1,.17416845,.045510307,.76401508,.26328242,3.9579771,1.2008394,.51115745,.056889538,.21674234,.11424271,-.64876819,.28951919,.54446679,.14927979,10.310418,2.5022676,255.00935,221.73816,248.20792,203.70059,56
2020Bas115_2a,.26671571,.028515905,1.1712098,.31926399,3.5356991,.92750889,.50190282,.03323159,-.32716414,.3170253,-.32093123,.16526607,.35842347,.29896042,4.872097,.93601716,536.68311,457.09781,488.76755,454.5704,127
2023Eck169_1a,.092057616,.0075348564,.51542759,.078431606,4.4377999,.56194121,.53996718,.010892358,.19587502,.051313657,.03295305,.046390813,.48207223,.054655079,7.3334846,.65746897,1604.3662,1257.0031,1416.3878,1216.3469,357
2023Eck169_1b,.099026427,.0091726566,.34921718,.052441549,3.1102762,.45104542,.49333957,.010660527,.35849902,.02405905,-.071087956,.045218207,.54198366,.026387725,9.2456503,.72947878,1571.1659,1419.6697,1529.4531,1297.1864,353
