treatment_id,basedeltaNU,se_basedeltaNU,basegammaNU,se_basegammaNU,baseetaNU,se_baseetaNU,baserhoNU,se_baserhoNU,basesigmaNU,se_basesigmaNU,deltaNU,se_deltaNU,gammaNU,se_gammaNU,etaNU,se_etaNU,nuNU,se_nuNU,rhoNU,se_rhoNU,sigmaNU,se_sigmaNU,baseNU_AIC,NU_AIC,nobs_NU
2007Lis165_1a,1,0,4.7737012,1.873143,1.0241808,5.3760939,-1.0957236,.57970542,.54833555,1.0962485,1,0,2.3594275,3.1510513,7.1563287,9.2134895,17.197878,19.013605,-.077662989,1.1763803,2.2974432,2.3136573,99.444489,99.663033,24
2012Laz164_3,1,0,1.1951252,1.803992,2.9746516,2.5565333,.21764556,.2450279,.11139856,.29129004,1,0,.45744821,4.4180369,3.7885354,5.2157621,.8090449,4.5369043,.30762163,.54362637,.19766723,.66921705,490.43976,492.38391,135
2013Kru001_1a,1,0,1.3920411,1.7046403,.96847409,3.0398209,.16533113,.18653528,.3124454,.26699787,1,0,6.371254,10.137889,-3.8785987,9.9295187,-5.8815441,12.310946,-.33558038,1.0192136,-.18164633,1.1209905,213.74513,215.46902,52
2016Kim003_7,1,0,4.8371272,1.0002061,-6.6814322,2.8763278,.12549095,.092771359,-6.9831853,.13670363,1,0,5.466435,2.5374904,-6.6835337,2.9185917,-1.2171381,4.2224731,.084086232,.17605901,-7.3569789,.19562778,274.14291,276.05692,66
2017Del037_1,1,0,-.061439902,1.61775,-.2330634,.92342001,.5949716,.10315966,-.50025034,.41195333,1,0,12.155053,6.6099873,-4.9710903,2.6946247,19.210657,10.356135,.49603409,.11819546,.22433954,.71835613,90.34407,89.757332,29
2017Fro073_1,1,0,4.7837596,3.7244627,14.632483,3.7353976,-1.260869,.69071823,1.6421398,.48006752,1,0,-5.5345311,4.1222215,.28877115,4.9825702,7.157331,2.1432457,.9786889,.81939077,.21518119,.71244049,388.89816,381.3446,126
2017Gac013_2,1,0,70.199409,19.706011,39.53138,16.757324,-11.559554,3.27455,0,0,1,0,67.978081,24.225172,38.171478,18.700218,-.52470928,3.4704609,-11.158728,4.1575222,0,0,214.68724,216.66386,71
2017Gac013_4,1,0,4.6516051,1.8048469,3.5713928,3.1331022,-.55530459,.42096466,0,0,1,0,1.5521535,2.2739589,3.6095033,3.2183061,6.1905808,3.0786383,-.21792762,.41351536,0,0,224.38766,222.04794,71
2017Tho028_1,1,0,5.3871603,2.3360252,-4.8340068,2.191148,.10397357,.17580359,0,0,1,0,10.858763,3.9890356,-7.3148961,2.6833777,-6.8605475,3.7453864,-.20577037,.25976834,0,0,247.72697,247.54875,53
2018Her061_9,1,0,9.3514194,3.3163583,9.2813978,3.3295379,-1.3648576,.58028251,-9.0343189,.35740674,1,0,9.8174849,3.4731185,9.1321058,3.586724,-2.0959191,9.2515984,-1.4398038,.59331083,-6.0766873,.43181774,113.12882,115.07024,38
2019Cha026_1,1,0,11.628282,1.8219625,19.029444,5.4068265,-1.75515,.41645816,2.6012616,.56658816,1,0,18.332413,11.216196,25.558092,10.855995,-11.076333,17.684725,-2.7835472,1.6977402,3.0100219,.79319197,186.06642,187.57739,56
2020Bas115_2a,1,0,8.8606529,2.5760908,-6.5188403,3.6406446,-.98236495,.42953083,-.054927003,.39813909,1,0,8.5965471,2.7217269,-7.198926,4.1542549,1.7238374,4.3659124,-1.0209075,.4659476,-.090882912,.32321292,451.19031,452.90961,127
2023Eck169_1a,1,0,-.90720719,1.2513145,17.975044,2.7753541,.073758461,.035226163,1.0882717,.10076242,1,0,-10.750493,2.9893143,20.263575,2.855437,11.038833,3.0550456,.59903854,.14864667,1.1083136,.09402933,1171.3546,1163.5914,357
2023Eck169_1b,1,0,8.7209902,.61170751,13.532396,2.0262635,-.38639808,.06648989,1.0088512,.070087619,1,0,6.6265702,2.6478384,13.377029,2.1062582,3.4176013,4.2495451,-.25772023,.17252184,1.0196882,.072932646,1243.8228,1245.1952,353
