"subject_id","scenarios","treatment_id","paper_id","p","choice","endowment","A","gender","age","Design","KW_score"
"2020Bas115_1a_aaar13",0,"2020Bas115_1a","2020Bas115",2506,5,10,0,1,74,"Within",-1
"2020Bas115_1a_aaar13",1,"2020Bas115_1a","2020Bas115",2507,5,10,0,1,74,"Within",-0.6
"2020Bas115_1a_aaar13",2,"2020Bas115_1a","2020Bas115",2508,5,10,0,1,74,"Within",-0.6
"2020Bas115_1a_aaar13",3,"2020Bas115_1a","2020Bas115",2509,5,10,0,1,74,"Within",-0.3
"2020Bas115_1a_aaar13",4,"2020Bas115_1a","2020Bas115",2510,5,10,0,1,74,"Within",0.3
"2020Bas115_1a_aaar13",5,"2020Bas115_1a","2020Bas115",2511,5,10,1,1,74,"Within",0.6
"2020Bas115_1a_aaar13",6,"2020Bas115_1a","2020Bas115",2512,5,10,0,1,74,"Within",0.6
"2020Bas115_1a_aaar13",7,"2020Bas115_1a","2020Bas115",2513,5,10,0,1,74,"Within",1
"2020Bas115_1a_aaar13",8,"2020Bas115_1a","2020Bas115",2514,5,10,0,1,74,"Within",0.3
"2020Bas115_1a_aaar13",9,"2020Bas115_1a","2020Bas115",2515,5,10,0,1,74,"Within",-0.3
"2020Bas115_1a_aaar13",10,"2020Bas115_1a","2020Bas115",2516,5,10,0,1,74,"Within",-0.6
"2020Bas115_1a_aahr03",0,"2020Bas115_1a","2020Bas115",2517,5,10,0,1,24,"Within",-1
"2020Bas115_1a_aahr03",1,"2020Bas115_1a","2020Bas115",2518,5,10,0,1,24,"Within",-1
"2020Bas115_1a_aahr03",2,"2020Bas115_1a","2020Bas115",2519,5,10,0,1,24,"Within",-0.6
"2020Bas115_1a_aahr03",3,"2020Bas115_1a","2020Bas115",2520,5,10,0,1,24,"Within",0.3
"2020Bas115_1a_aahr03",4,"2020Bas115_1a","2020Bas115",2521,5,10,0,1,24,"Within",0.6
"2020Bas115_1a_aahr03",5,"2020Bas115_1a","2020Bas115",2522,5,10,1,1,24,"Within",1
"2020Bas115_1a_aahr03",6,"2020Bas115_1a","2020Bas115",2523,5,10,0,1,24,"Within",1
"2020Bas115_1a_aahr03",7,"2020Bas115_1a","2020Bas115",2524,5,10,0,1,24,"Within",1
"2020Bas115_1a_aahr03",8,"2020Bas115_1a","2020Bas115",2525,5,10,0,1,24,"Within",1
"2020Bas115_1a_aahr03",9,"2020Bas115_1a","2020Bas115",2526,5,10,0,1,24,"Within",1
"2020Bas115_1a_aahr03",10,"2020Bas115_1a","2020Bas115",2527,5,10,0,1,24,"Within",1
"2020Bas115_1a_aavr09",0,"2020Bas115_1a","2020Bas115",2528,0,10,1,1,22,"Within",-1
"2020Bas115_1a_aavr09",1,"2020Bas115_1a","2020Bas115",2529,0,10,0,1,22,"Within",-1
"2020Bas115_1a_aavr09",2,"2020Bas115_1a","2020Bas115",2530,0,10,0,1,22,"Within",-0.6
"2020Bas115_1a_aavr09",3,"2020Bas115_1a","2020Bas115",2531,0,10,0,1,22,"Within",-0.6
"2020Bas115_1a_aavr09",4,"2020Bas115_1a","2020Bas115",2532,0,10,0,1,22,"Within",-0.3
"2020Bas115_1a_aavr09",5,"2020Bas115_1a","2020Bas115",2533,0,10,0,1,22,"Within",0.6
"2020Bas115_1a_aavr09",6,"2020Bas115_1a","2020Bas115",2534,0,10,0,1,22,"Within",1
"2020Bas115_1a_aavr09",7,"2020Bas115_1a","2020Bas115",2535,0,10,0,1,22,"Within",0.6
"2020Bas115_1a_aavr09",8,"2020Bas115_1a","2020Bas115",2536,0,10,0,1,22,"Within",0.6
"2020Bas115_1a_aavr09",9,"2020Bas115_1a","2020Bas115",2537,0,10,0,1,22,"Within",-0.3
"2020Bas115_1a_aavr09",10,"2020Bas115_1a","2020Bas115",2538,0,10,0,1,22,"Within",-0.3
"2020Bas115_1a_aawo25",0,"2020Bas115_1a","2020Bas115",2539,4,10,0,0,36,"Within",-1
"2020Bas115_1a_aawo25",1,"2020Bas115_1a","2020Bas115",2540,4,10,0,0,36,"Within",-1
"2020Bas115_1a_aawo25",2,"2020Bas115_1a","2020Bas115",2541,4,10,0,0,36,"Within",-0.6
"2020Bas115_1a_aawo25",3,"2020Bas115_1a","2020Bas115",2542,4,10,0,0,36,"Within",-0.6
"2020Bas115_1a_aawo25",4,"2020Bas115_1a","2020Bas115",2543,4,10,1,0,36,"Within",0.3
"2020Bas115_1a_aawo25",5,"2020Bas115_1a","2020Bas115",2544,4,10,0,0,36,"Within",1
"2020Bas115_1a_aawo25",6,"2020Bas115_1a","2020Bas115",2545,4,10,0,0,36,"Within",-0.3
"2020Bas115_1a_aawo25",7,"2020Bas115_1a","2020Bas115",2546,4,10,0,0,36,"Within",-0.3
"2020Bas115_1a_aawo25",8,"2020Bas115_1a","2020Bas115",2547,4,10,0,0,36,"Within",-0.6
"2020Bas115_1a_aawo25",9,"2020Bas115_1a","2020Bas115",2548,4,10,0,0,36,"Within",-1
"2020Bas115_1a_aawo25",10,"2020Bas115_1a","2020Bas115",2549,4,10,0,0,36,"Within",-1
"2020Bas115_1a_abcn29",0,"2020Bas115_1a","2020Bas115",2550,0,10,1,0,23,"Within",-1
"2020Bas115_1a_abcn29",1,"2020Bas115_1a","2020Bas115",2551,0,10,0,0,23,"Within",-1
"2020Bas115_1a_abcn29",2,"2020Bas115_1a","2020Bas115",2552,0,10,0,0,23,"Within",-1
"2020Bas115_1a_abcn29",3,"2020Bas115_1a","2020Bas115",2553,0,10,0,0,23,"Within",-0.6
"2020Bas115_1a_abcn29",4,"2020Bas115_1a","2020Bas115",2554,0,10,0,0,23,"Within",-0.3
"2020Bas115_1a_abcn29",5,"2020Bas115_1a","2020Bas115",2555,0,10,0,0,23,"Within",1
"2020Bas115_1a_abcn29",6,"2020Bas115_1a","2020Bas115",2556,0,10,0,0,23,"Within",1
"2020Bas115_1a_abcn29",7,"2020Bas115_1a","2020Bas115",2557,0,10,0,0,23,"Within",1
"2020Bas115_1a_abcn29",8,"2020Bas115_1a","2020Bas115",2558,0,10,0,0,23,"Within",1
"2020Bas115_1a_abcn29",9,"2020Bas115_1a","2020Bas115",2559,0,10,0,0,23,"Within",1
"2020Bas115_1a_abcn29",10,"2020Bas115_1a","2020Bas115",2560,0,10,0,0,23,"Within",1
"2020Bas115_1a_abco29",0,"2020Bas115_1a","2020Bas115",2561,5,10,0,1,25,"Within",-1
"2020Bas115_1a_abco29",1,"2020Bas115_1a","2020Bas115",2562,5,10,0,1,25,"Within",-1
"2020Bas115_1a_abco29",2,"2020Bas115_1a","2020Bas115",2563,5,10,0,1,25,"Within",-0.6
"2020Bas115_1a_abco29",3,"2020Bas115_1a","2020Bas115",2564,5,10,0,1,25,"Within",0.3
"2020Bas115_1a_abco29",4,"2020Bas115_1a","2020Bas115",2565,5,10,0,1,25,"Within",0.6
"2020Bas115_1a_abco29",5,"2020Bas115_1a","2020Bas115",2566,5,10,1,1,25,"Within",1
"2020Bas115_1a_abco29",6,"2020Bas115_1a","2020Bas115",2567,5,10,0,1,25,"Within",0.6
"2020Bas115_1a_abco29",7,"2020Bas115_1a","2020Bas115",2568,5,10,0,1,25,"Within",-0.6
"2020Bas115_1a_abco29",8,"2020Bas115_1a","2020Bas115",2569,5,10,0,1,25,"Within",-1
"2020Bas115_1a_abco29",9,"2020Bas115_1a","2020Bas115",2570,5,10,0,1,25,"Within",-1
"2020Bas115_1a_abco29",10,"2020Bas115_1a","2020Bas115",2571,5,10,0,1,25,"Within",-1
"2020Bas115_1a_abdo25",0,"2020Bas115_1a","2020Bas115",2572,5,10,0,1,24,"Within",-1
"2020Bas115_1a_abdo25",1,"2020Bas115_1a","2020Bas115",2573,5,10,0,1,24,"Within",-1
"2020Bas115_1a_abdo25",2,"2020Bas115_1a","2020Bas115",2574,5,10,0,1,24,"Within",-1
"2020Bas115_1a_abdo25",3,"2020Bas115_1a","2020Bas115",2575,5,10,0,1,24,"Within",-0.6
"2020Bas115_1a_abdo25",4,"2020Bas115_1a","2020Bas115",2576,5,10,0,1,24,"Within",-0.3
"2020Bas115_1a_abdo25",5,"2020Bas115_1a","2020Bas115",2577,5,10,1,1,24,"Within",1
"2020Bas115_1a_abdo25",6,"2020Bas115_1a","2020Bas115",2578,5,10,0,1,24,"Within",1
"2020Bas115_1a_abdo25",7,"2020Bas115_1a","2020Bas115",2579,5,10,0,1,24,"Within",1
"2020Bas115_1a_abdo25",8,"2020Bas115_1a","2020Bas115",2580,5,10,0,1,24,"Within",1
"2020Bas115_1a_abdo25",9,"2020Bas115_1a","2020Bas115",2581,5,10,0,1,24,"Within",1
"2020Bas115_1a_abdo25",10,"2020Bas115_1a","2020Bas115",2582,5,10,0,1,24,"Within",1
"2020Bas115_1a_abju25",0,"2020Bas115_1a","2020Bas115",2583,4,10,0,0,30,"Within",-1
"2020Bas115_1a_abju25",1,"2020Bas115_1a","2020Bas115",2584,4,10,0,0,30,"Within",-1
"2020Bas115_1a_abju25",2,"2020Bas115_1a","2020Bas115",2585,4,10,0,0,30,"Within",-0.6
"2020Bas115_1a_abju25",3,"2020Bas115_1a","2020Bas115",2586,4,10,0,0,30,"Within",-0.6
"2020Bas115_1a_abju25",4,"2020Bas115_1a","2020Bas115",2587,4,10,1,0,30,"Within",-0.3
"2020Bas115_1a_abju25",5,"2020Bas115_1a","2020Bas115",2588,4,10,0,0,30,"Within",0.3
"2020Bas115_1a_abju25",6,"2020Bas115_1a","2020Bas115",2589,4,10,0,0,30,"Within",0.3
"2020Bas115_1a_abju25",7,"2020Bas115_1a","2020Bas115",2590,4,10,0,0,30,"Within",0.6
"2020Bas115_1a_abju25",8,"2020Bas115_1a","2020Bas115",2591,4,10,0,0,30,"Within",0.6
"2020Bas115_1a_abju25",9,"2020Bas115_1a","2020Bas115",2592,4,10,0,0,30,"Within",1
"2020Bas115_1a_abju25",10,"2020Bas115_1a","2020Bas115",2593,4,10,0,0,30,"Within",1
"2020Bas115_1a_abmt22",0,"2020Bas115_1a","2020Bas115",2594,5,10,0,0,27,"Within",-1
"2020Bas115_1a_abmt22",1,"2020Bas115_1a","2020Bas115",2595,5,10,0,0,27,"Within",-1
"2020Bas115_1a_abmt22",2,"2020Bas115_1a","2020Bas115",2596,5,10,0,0,27,"Within",-0.6
"2020Bas115_1a_abmt22",3,"2020Bas115_1a","2020Bas115",2597,5,10,0,0,27,"Within",-0.6
"2020Bas115_1a_abmt22",4,"2020Bas115_1a","2020Bas115",2598,5,10,0,0,27,"Within",-0.3
"2020Bas115_1a_abmt22",5,"2020Bas115_1a","2020Bas115",2599,5,10,1,0,27,"Within",1
"2020Bas115_1a_abmt22",6,"2020Bas115_1a","2020Bas115",2600,5,10,0,0,27,"Within",0.6
"2020Bas115_1a_abmt22",7,"2020Bas115_1a","2020Bas115",2601,5,10,0,0,27,"Within",0.3
"2020Bas115_1a_abmt22",8,"2020Bas115_1a","2020Bas115",2602,5,10,0,0,27,"Within",-0.3
"2020Bas115_1a_abmt22",9,"2020Bas115_1a","2020Bas115",2603,5,10,0,0,27,"Within",-0.6
"2020Bas115_1a_abmt22",10,"2020Bas115_1a","2020Bas115",2604,5,10,0,0,27,"Within",-1
"2020Bas115_1a_aboo18",0,"2020Bas115_1a","2020Bas115",2605,5,10,0,1,28,"Within",-1
"2020Bas115_1a_aboo18",1,"2020Bas115_1a","2020Bas115",2606,5,10,0,1,28,"Within",-1
"2020Bas115_1a_aboo18",2,"2020Bas115_1a","2020Bas115",2607,5,10,0,1,28,"Within",-0.6
"2020Bas115_1a_aboo18",3,"2020Bas115_1a","2020Bas115",2608,5,10,0,1,28,"Within",-0.6
"2020Bas115_1a_aboo18",4,"2020Bas115_1a","2020Bas115",2609,5,10,0,1,28,"Within",-0.3
"2020Bas115_1a_aboo18",5,"2020Bas115_1a","2020Bas115",2610,5,10,1,1,28,"Within",0.6
"2020Bas115_1a_aboo18",6,"2020Bas115_1a","2020Bas115",2611,5,10,0,1,28,"Within",1
"2020Bas115_1a_aboo18",7,"2020Bas115_1a","2020Bas115",2612,5,10,0,1,28,"Within",1
"2020Bas115_1a_aboo18",8,"2020Bas115_1a","2020Bas115",2613,5,10,0,1,28,"Within",1
"2020Bas115_1a_aboo18",9,"2020Bas115_1a","2020Bas115",2614,5,10,0,1,28,"Within",1
"2020Bas115_1a_aboo18",10,"2020Bas115_1a","2020Bas115",2615,5,10,0,1,28,"Within",1
"2020Bas115_1a_abwt17",0,"2020Bas115_1a","2020Bas115",2616,5,10,0,0,25,"Within",-1
"2020Bas115_1a_abwt17",1,"2020Bas115_1a","2020Bas115",2617,5,10,0,0,25,"Within",-0.6
"2020Bas115_1a_abwt17",2,"2020Bas115_1a","2020Bas115",2618,5,10,0,0,25,"Within",-0.3
"2020Bas115_1a_abwt17",3,"2020Bas115_1a","2020Bas115",2619,5,10,0,0,25,"Within",0.3
"2020Bas115_1a_abwt17",4,"2020Bas115_1a","2020Bas115",2620,5,10,0,0,25,"Within",0.3
"2020Bas115_1a_abwt17",5,"2020Bas115_1a","2020Bas115",2621,5,10,1,0,25,"Within",1
"2020Bas115_1a_abwt17",6,"2020Bas115_1a","2020Bas115",2622,5,10,0,0,25,"Within",0.3
"2020Bas115_1a_abwt17",7,"2020Bas115_1a","2020Bas115",2623,5,10,0,0,25,"Within",-0.3
