"p","subject_id","treatment_id","paper_id","scenarios","choice","endowment","A","gender","age"
1,"2017Del037_3_201","2017Del037_3","2017Del037",0,6,13,0,1,29
2,"2017Del037_3_201","2017Del037_3","2017Del037",1,6,13,0,1,29
3,"2017Del037_3_201","2017Del037_3","2017Del037",2,6,13,0,1,29
4,"2017Del037_3_201","2017Del037_3","2017Del037",3,6,13,0,1,29
5,"2017Del037_3_201","2017Del037_3","2017Del037",4,6,13,0,1,29
6,"2017Del037_3_201","2017Del037_3","2017Del037",5,6,13,0,1,29
7,"2017Del037_3_201","2017Del037_3","2017Del037",6,6,13,1,1,29
8,"2017Del037_3_201","2017Del037_3","2017Del037",7,6,13,0,1,29
9,"2017Del037_3_201","2017Del037_3","2017Del037",8,6,13,0,1,29
10,"2017Del037_3_201","2017Del037_3","2017Del037",9,6,13,0,1,29
11,"2017Del037_3_201","2017Del037_3","2017Del037",10,6,13,0,1,29
12,"2017Del037_3_201","2017Del037_3","2017Del037",11,6,13,0,1,29
13,"2017Del037_3_201","2017Del037_3","2017Del037",12,6,13,0,1,29
14,"2017Del037_3_201","2017Del037_3","2017Del037",13,6,13,0,1,29
15,"2017Del037_3_202","2017Del037_3","2017Del037",0,6,12,0,1,35
16,"2017Del037_3_202","2017Del037_3","2017Del037",1,6,12,0,1,35
17,"2017Del037_3_202","2017Del037_3","2017Del037",2,6,12,0,1,35
18,"2017Del037_3_202","2017Del037_3","2017Del037",3,6,12,0,1,35
19,"2017Del037_3_202","2017Del037_3","2017Del037",4,6,12,0,1,35
20,"2017Del037_3_202","2017Del037_3","2017Del037",5,6,12,0,1,35
21,"2017Del037_3_202","2017Del037_3","2017Del037",6,6,12,1,1,35
22,"2017Del037_3_202","2017Del037_3","2017Del037",7,6,12,0,1,35
23,"2017Del037_3_202","2017Del037_3","2017Del037",8,6,12,0,1,35
24,"2017Del037_3_202","2017Del037_3","2017Del037",9,6,12,0,1,35
25,"2017Del037_3_202","2017Del037_3","2017Del037",10,6,12,0,1,35
26,"2017Del037_3_202","2017Del037_3","2017Del037",11,6,12,0,1,35
27,"2017Del037_3_202","2017Del037_3","2017Del037",12,6,12,0,1,35
28,"2017Del037_3_205","2017Del037_3","2017Del037",0,0,11,1,1,37
29,"2017Del037_3_205","2017Del037_3","2017Del037",1,0,11,0,1,37
30,"2017Del037_3_205","2017Del037_3","2017Del037",2,0,11,0,1,37
31,"2017Del037_3_205","2017Del037_3","2017Del037",3,0,11,0,1,37
32,"2017Del037_3_205","2017Del037_3","2017Del037",4,0,11,0,1,37
33,"2017Del037_3_205","2017Del037_3","2017Del037",5,0,11,0,1,37
34,"2017Del037_3_205","2017Del037_3","2017Del037",6,0,11,0,1,37
35,"2017Del037_3_205","2017Del037_3","2017Del037",7,0,11,0,1,37
36,"2017Del037_3_205","2017Del037_3","2017Del037",8,0,11,0,1,37
37,"2017Del037_3_205","2017Del037_3","2017Del037",9,0,11,0,1,37
38,"2017Del037_3_205","2017Del037_3","2017Del037",10,0,11,0,1,37
39,"2017Del037_3_205","2017Del037_3","2017Del037",11,0,11,0,1,37
40,"2017Del037_3_206","2017Del037_3","2017Del037",0,5,11,0,1,36
41,"2017Del037_3_206","2017Del037_3","2017Del037",1,5,11,0,1,36
