"p","subject_id","treatment_id","scenarios","choice","endowment","A"
1,"2016Kim003_7_1913","2016Kim003_7",0,4,16,0
2,"2016Kim003_7_1913","2016Kim003_7",1,4,16,0
3,"2016Kim003_7_1913","2016Kim003_7",2,4,16,0
4,"2016Kim003_7_1913","2016Kim003_7",3,4,16,0
5,"2016Kim003_7_1913","2016Kim003_7",4,4,16,1
6,"2016Kim003_7_1913","2016Kim003_7",5,4,16,0
7,"2016Kim003_7_1913","2016Kim003_7",6,4,16,0
8,"2016Kim003_7_1913","2016Kim003_7",7,4,16,0
9,"2016Kim003_7_1913","2016Kim003_7",8,4,16,0
10,"2016Kim003_7_1913","2016Kim003_7",9,4,16,0
11,"2016Kim003_7_1913","2016Kim003_7",10,4,16,0
12,"2016Kim003_7_1913","2016Kim003_7",11,4,16,0
13,"2016Kim003_7_1913","2016Kim003_7",12,4,16,0
14,"2016Kim003_7_1913","2016Kim003_7",13,4,16,0
15,"2016Kim003_7_1913","2016Kim003_7",14,4,16,0
16,"2016Kim003_7_1913","2016Kim003_7",15,4,16,0
17,"2016Kim003_7_1913","2016Kim003_7",16,4,16,0
18,"2016Kim003_7_1914","2016Kim003_7",0,1,16,0
19,"2016Kim003_7_1914","2016Kim003_7",1,1,16,1
20,"2016Kim003_7_1914","2016Kim003_7",2,1,16,0
21,"2016Kim003_7_1914","2016Kim003_7",3,1,16,0
22,"2016Kim003_7_1914","2016Kim003_7",4,1,16,0
23,"2016Kim003_7_1914","2016Kim003_7",5,1,16,0
24,"2016Kim003_7_1914","2016Kim003_7",6,1,16,0
25,"2016Kim003_7_1914","2016Kim003_7",7,1,16,0
26,"2016Kim003_7_1914","2016Kim003_7",8,1,16,0
27,"2016Kim003_7_1914","2016Kim003_7",9,1,16,0
28,"2016Kim003_7_1914","2016Kim003_7",10,1,16,0
29,"2016Kim003_7_1914","2016Kim003_7",11,1,16,0
30,"2016Kim003_7_1914","2016Kim003_7",12,1,16,0
31,"2016Kim003_7_1914","2016Kim003_7",13,1,16,0
32,"2016Kim003_7_1914","2016Kim003_7",14,1,16,0
33,"2016Kim003_7_1914","2016Kim003_7",15,1,16,0
34,"2016Kim003_7_1914","2016Kim003_7",16,1,16,0
35,"2016Kim003_7_1915","2016Kim003_7",0,7,16,0
36,"2016Kim003_7_1915","2016Kim003_7",1,7,16,0
37,"2016Kim003_7_1915","2016Kim003_7",2,7,16,0
38,"2016Kim003_7_1915","2016Kim003_7",3,7,16,0
39,"2016Kim003_7_1915","2016Kim003_7",4,7,16,0
40,"2016Kim003_7_1915","2016Kim003_7",5,7,16,0
41,"2016Kim003_7_1915","2016Kim003_7",6,7,16,0
42,"2016Kim003_7_1915","2016Kim003_7",7,7,16,1
43,"2016Kim003_7_1915","2016Kim003_7",8,7,16,0
44,"2016Kim003_7_1915","2016Kim003_7",9,7,16,0
45,"2016Kim003_7_1915","2016Kim003_7",10,7,16,0
46,"2016Kim003_7_1915","2016Kim003_7",11,7,16,0
47,"2016Kim003_7_1915","2016Kim003_7",12,7,16,0
48,"2016Kim003_7_1915","2016Kim003_7",13,7,16,0
49,"2016Kim003_7_1915","2016Kim003_7",14,7,16,0
50,"2016Kim003_7_1915","2016Kim003_7",15,7,16,0
51,"2016Kim003_7_1915","2016Kim003_7",16,7,16,0
52,"2016Kim003_7_1916","2016Kim003_7",0,0,16,1
53,"2016Kim003_7_1916","2016Kim003_7",1,0,16,0
54,"2016Kim003_7_1916","2016Kim003_7",2,0,16,0
55,"2016Kim003_7_1916","2016Kim003_7",3,0,16,0
56,"2016Kim003_7_1916","2016Kim003_7",4,0,16,0
57,"2016Kim003_7_1916","2016Kim003_7",5,0,16,0
58,"2016Kim003_7_1916","2016Kim003_7",6,0,16,0
59,"2016Kim003_7_1916","2016Kim003_7",7,0,16,0
60,"2016Kim003_7_1916","2016Kim003_7",8,0,16,0
61,"2016Kim003_7_1916","2016Kim003_7",9,0,16,0
62,"2016Kim003_7_1916","2016Kim003_7",10,0,16,0
63,"2016Kim003_7_1916","2016Kim003_7",11,0,16,0
64,"2016Kim003_7_1916","2016Kim003_7",12,0,16,0
65,"2016Kim003_7_1916","2016Kim003_7",13,0,16,0
66,"2016Kim003_7_1916","2016Kim003_7",14,0,16,0
67,"2016Kim003_7_1916","2016Kim003_7",15,0,16,0
68,"2016Kim003_7_1916","2016Kim003_7",16,0,16,0
69,"2016Kim003_7_1917","2016Kim003_7",0,1,16,0
70,"2016Kim003_7_1917","2016Kim003_7",1,1,16,1
71,"2016Kim003_7_1917","2016Kim003_7",2,1,16,0
72,"2016Kim003_7_1917","2016Kim003_7",3,1,16,0
