"p","subject_id","treatment_id","paper_id","scenarios","choice","endowment","A","gender","age","Design"
1,"2017Del037_3_201","2017Del037_3","2017Del037",0,6,13,0,1,29,"Within"
2,"2017Del037_3_201","2017Del037_3","2017Del037",1,6,13,0,1,29,"Within"
3,"2017Del037_3_201","2017Del037_3","2017Del037",2,6,13,0,1,29,"Within"
4,"2017Del037_3_201","2017Del037_3","2017Del037",3,6,13,0,1,29,"Within"
5,"2017Del037_3_201","2017Del037_3","2017Del037",4,6,13,0,1,29,"Within"
6,"2017Del037_3_201","2017Del037_3","2017Del037",5,6,13,0,1,29,"Within"
7,"2017Del037_3_201","2017Del037_3","2017Del037",6,6,13,1,1,29,"Within"
8,"2017Del037_3_201","2017Del037_3","2017Del037",7,6,13,0,1,29,"Within"
9,"2017Del037_3_201","2017Del037_3","2017Del037",8,6,13,0,1,29,"Within"
10,"2017Del037_3_201","2017Del037_3","2017Del037",9,6,13,0,1,29,"Within"
11,"2017Del037_3_201","2017Del037_3","2017Del037",10,6,13,0,1,29,"Within"
12,"2017Del037_3_201","2017Del037_3","2017Del037",11,6,13,0,1,29,"Within"
13,"2017Del037_3_201","2017Del037_3","2017Del037",12,6,13,0,1,29,"Within"
14,"2017Del037_3_201","2017Del037_3","2017Del037",13,6,13,0,1,29,"Within"
15,"2017Del037_3_202","2017Del037_3","2017Del037",0,6,12,0,1,35,"Within"
16,"2017Del037_3_202","2017Del037_3","2017Del037",1,6,12,0,1,35,"Within"
17,"2017Del037_3_202","2017Del037_3","2017Del037",2,6,12,0,1,35,"Within"
18,"2017Del037_3_202","2017Del037_3","2017Del037",3,6,12,0,1,35,"Within"
19,"2017Del037_3_202","2017Del037_3","2017Del037",4,6,12,0,1,35,"Within"
20,"2017Del037_3_202","2017Del037_3","2017Del037",5,6,12,0,1,35,"Within"
21,"2017Del037_3_202","2017Del037_3","2017Del037",6,6,12,1,1,35,"Within"
22,"2017Del037_3_202","2017Del037_3","2017Del037",7,6,12,0,1,35,"Within"
23,"2017Del037_3_202","2017Del037_3","2017Del037",8,6,12,0,1,35,"Within"
24,"2017Del037_3_202","2017Del037_3","2017Del037",9,6,12,0,1,35,"Within"
25,"2017Del037_3_202","2017Del037_3","2017Del037",10,6,12,0,1,35,"Within"
26,"2017Del037_3_202","2017Del037_3","2017Del037",11,6,12,0,1,35,"Within"
27,"2017Del037_3_202","2017Del037_3","2017Del037",12,6,12,0,1,35,"Within"
28,"2017Del037_3_205","2017Del037_3","2017Del037",0,0,11,1,1,37,"Within"
29,"2017Del037_3_205","2017Del037_3","2017Del037",1,0,11,0,1,37,"Within"
30,"2017Del037_3_205","2017Del037_3","2017Del037",2,0,11,0,1,37,"Within"
31,"2017Del037_3_205","2017Del037_3","2017Del037",3,0,11,0,1,37,"Within"
32,"2017Del037_3_205","2017Del037_3","2017Del037",4,0,11,0,1,37,"Within"
33,"2017Del037_3_205","2017Del037_3","2017Del037",5,0,11,0,1,37,"Within"
34,"2017Del037_3_205","2017Del037_3","2017Del037",6,0,11,0,1,37,"Within"
35,"2017Del037_3_205","2017Del037_3","2017Del037",7,0,11,0,1,37,"Within"
36,"2017Del037_3_205","2017Del037_3","2017Del037",8,0,11,0,1,37,"Within"
37,"2017Del037_3_205","2017Del037_3","2017Del037",9,0,11,0,1,37,"Within"
38,"2017Del037_3_205","2017Del037_3","2017Del037",10,0,11,0,1,37,"Within"
39,"2017Del037_3_205","2017Del037_3","2017Del037",11,0,11,0,1,37,"Within"
40,"2017Del037_3_206","2017Del037_3","2017Del037",0,5,11,0,1,36,"Within"
41,"2017Del037_3_206","2017Del037_3","2017Del037",1,5,11,0,1,36,"Within"
42,"2017Del037_3_206","2017Del037_3","2017Del037",2,5,11,0,1,36,"Within"
43,"2017Del037_3_206","2017Del037_3","2017Del037",3,5,11,0,1,36,"Within"
44,"2017Del037_3_206","2017Del037_3","2017Del037",4,5,11,0,1,36,"Within"
45,"2017Del037_3_206","2017Del037_3","2017Del037",5,5,11,1,1,36,"Within"
46,"2017Del037_3_206","2017Del037_3","2017Del037",6,5,11,0,1,36,"Within"
47,"2017Del037_3_206","2017Del037_3","2017Del037",7,5,11,0,1,36,"Within"
48,"2017Del037_3_206","2017Del037_3","2017Del037",8,5,11,0,1,36,"Within"
49,"2017Del037_3_206","2017Del037_3","2017Del037",9,5,11,0,1,36,"Within"
50,"2017Del037_3_206","2017Del037_3","2017Del037",10,5,11,0,1,36,"Within"
51,"2017Del037_3_206","2017Del037_3","2017Del037",11,5,11,0,1,36,"Within"
52,"2017Del037_3_207","2017Del037_3","2017Del037",0,2,12,0,0,33,"Within"
53,"2017Del037_3_207","2017Del037_3","2017Del037",1,2,12,0,0,33,"Within"
54,"2017Del037_3_207","2017Del037_3","2017Del037",2,2,12,1,0,33,"Within"
55,"2017Del037_3_207","2017Del037_3","2017Del037",3,2,12,0,0,33,"Within"
56,"2017Del037_3_207","2017Del037_3","2017Del037",4,2,12,0,0,33,"Within"
57,"2017Del037_3_207","2017Del037_3","2017Del037",5,2,12,0,0,33,"Within"
58,"2017Del037_3_207","2017Del037_3","2017Del037",6,2,12,0,0,33,"Within"
59,"2017Del037_3_207","2017Del037_3","2017Del037",7,2,12,0,0,33,"Within"
60,"2017Del037_3_207","2017Del037_3","2017Del037",8,2,12,0,0,33,"Within"
61,"2017Del037_3_207","2017Del037_3","2017Del037",9,2,12,0,0,33,"Within"
62,"2017Del037_3_207","2017Del037_3","2017Del037",10,2,12,0,0,33,"Within"
