PaperID;TreatmentCode;n_Paper;TreatmentName_paper;Year;Outlet;Published;FirstTask;between_vs_within;Game_type;Group_size;One_Shot_Repeated;Choice_Method;Matching;Rounds;Punishment;Rewards;Monetary_Incentivized_experiment;Environment;Method_elicitation;Separate_sample_beliefs;Belief_repeated;Before_after_main_decisions;KW_Normative;KW_Personal;Bicchieri_Empirical;Bicchieri_Normative;Bicchieri_Personal_Beliefs;Bicchieri_between;Incentives_beliefs;StatusTreatment_Roma;Avg_coop;Var_coop;Avg_NE;Var_NE;Sd_Avg_NE;Avg_EE;Avg_PNB;Var_EE;Var_PNB
2021Kon127;10;127;S2_NoConflit;2021;WP;Working Paper;NA;NA;DG;2;NA;OnlyNorms;NA;NA;NA;NA;NA;NA;KW;Y;N;NA;Y;NA;NA;NA;NA;NA;Y;6-Complete;NA;NA;0.5;0.178944865;0.147154988;NA;NA;NA;NA
2021Kon127;9;127;S2_Never;2021;WP;Working Paper;NA;NA;DG;2;NA;OnlyNorms;NA;NA;NA;NA;NA;NA;KW;Y;N;NA;Y;NA;NA;NA;NA;NA;Y;6-Complete;NA;NA;0.5;0.199912431;0.167234079;NA;NA;NA;NA
2021Kon127;8;127;S2_Always;2021;WP;Working Paper;NA;NA;DG;2;NA;OnlyNorms;NA;NA;NA;NA;NA;NA;KW;Y;N;NA;Y;NA;NA;NA;NA;NA;Y;6-Complete;NA;NA;0.5;0.17707326;0.122994844;NA;NA;NA;NA
2021Kon127;7;127;S2_baseline;2021;WP;Working Paper;NA;NA;DG;2;NA;OnlyNorms;NA;NA;NA;NA;NA;NA;KW;Y;N;NA;Y;NA;NA;NA;NA;NA;Y;6-Complete;NA;NA;0.5;0.180510185;0.156388662;NA;NA;NA;NA
2021Kon127;4;127;S1_NoConflit;2021;WP;Working Paper;NA;NA;DG;2;NA;OnlyNorms;NA;NA;NA;NA;NA;NA;KW;Y;N;NA;Y;NA;NA;NA;NA;NA;Y;6-Complete;NA;NA;0.5;0.184120934;0.070495753;NA;NA;NA;NA
2021Kon127;3;127;S1_Never;2021;WP;Working Paper;NA;NA;DG;2;NA;OnlyNorms;NA;NA;NA;NA;NA;NA;KW;Y;N;NA;Y;NA;NA;NA;NA;NA;Y;6-Complete;NA;NA;0.5;0.255482581;0.125043859;NA;NA;NA;NA
2021Kon127;2;127;S1_Always;2021;WP;Working Paper;NA;NA;DG;2;NA;OnlyNorms;NA;NA;NA;NA;NA;NA;KW;Y;N;NA;Y;NA;NA;NA;NA;NA;Y;6-Complete;NA;NA;0.5;0.256034209;0.146211666;NA;NA;NA;NA
2021Kon127;1;127;S1_baseline;2021;WP;Working Paper;NA;NA;DG;2;NA;OnlyNorms;NA;NA;NA;NA;NA;NA;KW;Y;N;NA;Y;NA;NA;NA;NA;NA;Y;6-Complete;NA;NA;0.5;0.218157243;0.180860012;NA;NA;NA;NA
2017Sen116;2;116;SN;2017;WP;Working Paper;N;between;DG;2;OneShot;Direct;P;1;N;N;Y;Lab;Both;N;N;both;Y;NA;Y;NA;Y;N;Both;5a-Positive feedback received;0.336315789;0.038215579;NA;NA;NA;NA;NA;NA;NA
2017Sen116;1;116;baseline;2017;WP;Working Paper;Y;between;DG;2;OneShot;Direct;P;1;N;N;Y;Lab;Bicchieri;N;N;after;N;NA;Y;NA;Y;N;N;5a-Positive feedback received;0.256363636;0.037734266;NA;NA;NA;NA;NA;NA;NA
2020Bas115;2c;115;Private_UG;2020;WP;Working Paper;Random;between;UG;2;OneShot;Direct;PS;1;N;N;Y;Lab;KW;N;N;before;Y;Y;NA;NA;NA;NA;Y;6-Complete;0.419047619;0.01156682;0.5;0.262528434;0.443002383;NA;NA;NA;NA
2020Bas115;1c;115;Social_UG;2020;WP;Working Paper;Random;between;UG;2;OneShot;Direct;PS;1;N;N;Y;Lab;KW;N;N;before;Y;Y;NA;NA;NA;NA;Y;6-Complete;0.473333333;0.00300565;0.5;0.167186459;0.482248635;NA;NA;NA;NA
2020Bas115;2b;115;Private_DG_tax;2020;WP;Working Paper;Random;between;DG Tax;2;OneShot;Direct;PS;1;N;N;Y;Lab;KW;N;N;before;Y;Y;NA;NA;NA;NA;Y;6-Complete;0.295275591;0.066138217;0.583333333;0.328906387;0.438512343;NA;NA;NA;NA
2020Bas115;1b;115;Social_DG_tax;2020;WP;Working Paper;Random;between;DG Tax;2;OneShot;Direct;PS;1;N;N;Y;Lab;KW;N;N;before;Y;Y;NA;NA;NA;NA;Y;6-Complete;0.456300813;0.042004032;0.583333333;0.356414767;0.409387941;NA;NA;NA;NA
2020Bas115;2a;115;Private_DG;2020;WP;Working Paper;Random;between;DG;2;OneShot;Direct;PS;1;N;N;Y;Lab;KW;N;N;before;Y;Y;NA;NA;NA;NA;Y;6-Complete;0.265354331;0.04767904;0.5;0.095688039;0.484479185;NA;NA;NA;NA
2020Bas115;1a;115;Social_DG;2020;WP;Working Paper;Random;between;DG;2;OneShot;Direct;PS;1;N;N;Y;Lab;KW;N;N;before;Y;Y;NA;NA;NA;NA;Y;6-Complete;0.420325203;0.022124484;0.5;0.081860589;0.509559922;NA;NA;NA;NA
2020And089;4;89;EX2_PublicDecisionCondition;2020;JBEE;Published;N;between;PGG;4_10;OneShot;Strategy;P;1;N;N;Y;Classroom;KW;Y;N;NA;Y;NA;NA;NA;NA;NA;Y;6-Complete;0.842975207;0.133471074;1;0.268352459;0.733295921;0.606060606;NA;NA;NA
2020And089;3;89;EX2_PrivateDecisionCondition;2020;JBEE;Published;N;between;PGG;4_10;OneShot;Strategy;P;1;N;N;Y;Classroom;KW;Y;N;NA;Y;NA;NA;NA;NA;NA;Y;6-Complete;0.720338983;0.203172534;1;0.116764133;0.893704404;0.75;NA;NA;NA
2020And089;2;89;EX1_PublicDecisionCondition;2020;JBEE;Published;N;between;Donation Game;4_8;OneShot;Direct;P;1;N;N;Y;Classroom;KW;Y;N;NA;Y;NA;NA;NA;NA;NA;Y;6-Complete;0.567213115;0.161116916;1;0.080653021;0.471711325;0.553333333;NA;NA;NA
2020And089;1;89;EX1_PrivateDecisionCondition;2020;JBEE;Published;N;between;Donation Game;4_8;OneShot;Direct;P;1;N;N;Y;Classroom;KW;Y;N;NA;Y;NA;NA;NA;NA;NA;Y;6-Complete;0.60104712;0.16273574;1;0.150163769;0.464942406;0.503535354;NA;NA;NA
2019Dro082;1a;82;Donation Game;2019;WP;Working Paper;N;within;Donation Game;2;OneShot;Direct;P;1;N;N;Y;Lab;KW;N;N;after;Y;Y;NA;NA;NA;NA;N;6-Complete;0.087071985;0.012231793;0.153846154;0.23506289;0.460886022;NA;NA;NA;NA
2018Her061;9;61;GENExperiment_Money;2018;WP;Working Paper;Y;between;DG;2;OneShot;Direct;P;1;N;N;Y;Lab;KW;Y;N;NA;Y;NA;NA;NA;NA;NA;Y;6-Complete;0.144736842;0.036052632;0.5;0.184605658;0.536055547;NA;NA;NA;NA
2019Tjo060;9;60;Experiment 9;2019;JBEE;Published;Y;between;DG;NA;NA;OnlyNorms;NA;NA;NA;NA;NA;Classroom;KW;Y;N;NA;Y;NA;NA;NA;NA;NA;Y;6-Complete;NA;NA;0.5;0.273219373;0.169803808;NA;NA;NA;NA
