"donation","Kw_m","PaperID","TreatmentCode"
5,0.222023810304347,"2007Lis165","1b"
4.5,0.269880952224845,"2007Lis165","1b"
4,0.309404762373084,"2007Lis165","1b"
3.5,0.364761906010764,"2007Lis165","1b"
3,0.499404764246373,"2007Lis165","1b"
2.5,0.785357144262109,"2007Lis165","1b"
2,0.252738100077425,"2007Lis165","1b"
1.5,0.0233333352066222,"2007Lis165","1b"
1,-0.118333336143267,"2007Lis165","1b"
0.5,-0.213571431381362,"2007Lis165","1b"
0,-0.261547620452586,"2007Lis165","1b"
-1,-0.88071428665093,"2007Lis165","1b"
5,0.261785714754037,"2007Lis165","1a"
4.5,0.277857142544928,"2007Lis165","1a"
4,0.333333333333333,"2007Lis165","1a"
3.5,0.420238096799169,"2007Lis165","1a"
3,0.546904764714695,"2007Lis165","1a"
2.5,0.801428572053001,"2007Lis165","1a"
2,0.165595242310138,"2007Lis165","1a"
1.5,-0.157976193442231,"2007Lis165","1a"
1,-0.419523813894817,"2007Lis165","1a"
0.5,-0.571071429976395,"2007Lis165","1a"
0,-0.753809524433953,"2007Lis165","1a"
