"donation","Kw_m","PaperID","TreatmentCode"
5,0.0432608704204145,"2013Kru001","1b"
4,0.101304348396218,"2013Kru001","1b"
3,0.203043477690738,"2013Kru001","1b"
2,0.311086958517199,"2013Kru001","1b"
1,0.484565221097158,"2013Kru001","1b"
0,0.927173914468807,"2013Kru001","1b"
-1,-0.0866304360654043,"2013Kru001","1b"
-2,-0.382826091802638,"2013Kru001","1b"
-3,-0.665434787454812,"2013Kru001","1b"
-4,-0.825652175623438,"2013Kru001","1b"
-5,-0.898369565930056,"2013Kru001","1b"
10,0.183644860425842,"2013Kru001","1a"
9,0.215140186180578,"2013Kru001","1a"
8,0.32112149434669,"2013Kru001","1a"
7,0.420000002205929,"2013Kru001","1a"
6,0.574859818844038,"2013Kru001","1a"
5,0.868785048199591,"2013Kru001","1a"
4,0.139158882548876,"2013Kru001","1a"
3,-0.163925238301821,"2013Kru001","1a"
2,-0.444112154924981,"2013Kru001","1a"
1,-0.643925237321408,"2013Kru001","1a"
0,-0.800373832756114,"2013Kru001","1a"
