"donation","Kw_m","PaperID","TreatmentCode"
"0",-0.17007874015748,"2020Bas115","2c"
"1",-0.0251968503937008,"2020Bas115","2c"
"2",0.0913385826771654,"2020Bas115","2c"
"3",0.256692913385827,"2020Bas115","2c"
"4",0.419685039370079,"2020Bas115","2c"
"5",0.562204724409449,"2020Bas115","2c"
"6",-0.0929133858267716,"2020Bas115","2c"
"7",-0.366929133858268,"2020Bas115","2c"
"8",-0.553543307086614,"2020Bas115","2c"
"9",-0.706299212598425,"2020Bas115","2c"
"10",-0.763779527559055,"2020Bas115","2c"
"0",-0.23739837398374,"2020Bas115","1c"
"1",-0.0577235772357724,"2020Bas115","1c"
"2",0.0886178861788618,"2020Bas115","1c"
"3",0.275609756097561,"2020Bas115","1c"
"4",0.479674796747967,"2020Bas115","1c"
"5",0.659349593495935,"2020Bas115","1c"
"6",-0.0813008130081301,"2020Bas115","1c"
"7",-0.398373983739837,"2020Bas115","1c"
"8",-0.588617886178862,"2020Bas115","1c"
"9",-0.726829268292683,"2020Bas115","1c"
"10",-0.808943089430894,"2020Bas115","1c"
"0",-0.777952755905512,"2020Bas115","2b"
"1.5",-0.570866141732283,"2020Bas115","2b"
"3",-0.267716535433071,"2020Bas115","2b"
"4.5",0.103937007874016,"2020Bas115","2b"
"6",0.407086614173228,"2020Bas115","2b"
"7.5",0.570866141732283,"2020Bas115","2b"
"9",0.0551181102362205,"2020Bas115","2b"
"10.5",-0.177952755905512,"2020Bas115","2b"
"12",-0.325196850393701,"2020Bas115","2b"
"0",-0.758536585365854,"2020Bas115","1b"
"1.5",-0.495121951219512,"2020Bas115","1b"
"3",-0.226829268292683,"2020Bas115","1b"
"4.5",0.0967479674796748,"2020Bas115","1b"
"6",0.372357723577236,"2020Bas115","1b"
"7.5",0.535772357723577,"2020Bas115","1b"
"9",0.0373983739837398,"2020Bas115","1b"
"10.5",-0.200813008130081,"2020Bas115","1b"
"12",-0.3,"2020Bas115","1b"
"0",-0.901574803149606,"2020Bas115","2a"
"1",-0.688188976377953,"2020Bas115","2a"
"2",-0.477165354330709,"2020Bas115","2a"
"3",-0.12755905511811,"2020Bas115","2a"
"4",0.244094488188976,"2020Bas115","2a"
"5",0.810236220472441,"2020Bas115","2a"
"6",0.337795275590551,"2020Bas115","2a"
"7",0.12755905511811,"2020Bas115","2a"
"8",-0.0322834645669291,"2020Bas115","2a"
"9",-0.139370078740157,"2020Bas115","2a"
"10",-0.238582677165354,"2020Bas115","2a"
"0",-0.913008130081301,"2020Bas115","1a"
"1",-0.72520325203252,"2020Bas115","1a"
"2",-0.485365853658537,"2020Bas115","1a"
"3",-0.117073170731707,"2020Bas115","1a"
"4",0.27479674796748,"2020Bas115","1a"
"5",0.852032520325203,"2020Bas115","1a"
"6",0.395121951219512,"2020Bas115","1a"
"7",0.134959349593496,"2020Bas115","1a"
"8",-0.040650406504065,"2020Bas115","1a"
"9",-0.202439024390244,"2020Bas115","1a"
"10",-0.286178861788618,"2020Bas115","1a"
