"PaperID","TreatmentCode","n_Paper","TreatmentName_paper","Year","Outlet","Published","FirstTask","between_vs_within","Game_type","Group_size","One_Shot_Repeated","Choice_Method","Matching","Rounds","Punishment","Rewards","Monetary_Incentivized_experiment","Environment","Method_elicitation","Separate_sample_beliefs","Belief_repeated","Before_after_main_decisions","KW_Normative","KW_Personal","Bicchieri_Empirical","Bicchieri_Normative","Bicchieri_Personal_Beliefs","Bicchieri_between","Incentives_beliefs","StatusTreatment_Roma","Avg_coop","Var_coop","Avg_NE","Var_NE","Avg_EE","Avg_PNB","Var_EE","Var_PNB"
"2021Kon127","10",127,"S2_NoConflit",2021,"WP","Working Paper",NA,NA,"DG",2,NA,"OnlyNorms",NA,NA,NA,NA,NA,NA,"KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",NA,NA,0.5,0.178944865074743,NA,NA,NA,NA
"2021Kon127","9",127,"S2_Never",2021,"WP","Working Paper",NA,NA,"DG",2,NA,"OnlyNorms",NA,NA,NA,NA,NA,NA,"KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",NA,NA,0.5,0.199912430991814,NA,NA,NA,NA
"2021Kon127","8",127,"S2_Always",2021,"WP","Working Paper",NA,NA,"DG",2,NA,"OnlyNorms",NA,NA,NA,NA,NA,NA,"KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",NA,NA,0.5,0.17707326007326,NA,NA,NA,NA
"2021Kon127","7",127,"S2_baseline",2021,"WP","Working Paper",NA,NA,"DG",2,NA,"OnlyNorms",NA,NA,NA,NA,NA,NA,"KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",NA,NA,0.5,0.180510184656387,NA,NA,NA,NA
"2021Kon127","4",127,"S1_NoConflit",2021,"WP","Working Paper",NA,NA,"DG",2,NA,"OnlyNorms",NA,NA,NA,NA,NA,NA,"KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",NA,NA,0.5,0.18412093411176,NA,NA,NA,NA
"2021Kon127","3",127,"S1_Never",2021,"WP","Working Paper",NA,NA,"DG",2,NA,"OnlyNorms",NA,NA,NA,NA,NA,NA,"KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",NA,NA,0.5,0.255482581382067,NA,NA,NA,NA
"2021Kon127","2",127,"S1_Always",2021,"WP","Working Paper",NA,NA,"DG",2,NA,"OnlyNorms",NA,NA,NA,NA,NA,NA,"KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",NA,NA,0.5,0.256034209134192,NA,NA,NA,NA
"2021Kon127","1",127,"S1_baseline",2021,"WP","Working Paper",NA,NA,"DG",2,NA,"OnlyNorms",NA,NA,NA,NA,NA,NA,"KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",NA,NA,0.5,0.218157243479916,NA,NA,NA,NA
"2017Sen116","2",116,"SN",2017,"WP","Working Paper","N","between","DG",2,"OneShot","Direct","P",1,"N","N","Y","Lab","KW","N","N","before","Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.336315789473684,0.0382155789473684,NA,NA,NA,NA,NA,NA
"2017Sen116","1",116,"baseline",2017,"WP","Working Paper","Y","between","DG",2,"OneShot","Direct","P",1,"N","N","Y","Lab","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.256363636363636,0.0377342657342657,NA,NA,NA,NA,NA,NA
