n_Paper,PaperID,Title,Authors,Year,Outlet,Published,Available_Dataset
1,2013Kru001,Identifying Social Norms Using Coordination Games: Why Does Dictator Game Sharing Vary?,Krupka--Weber,2013,JEEA,Published,N
2,2013Gac002,Peer Effects in Pro-Social Behavior: Social Norms or Social Preferences?,Gachter--Nosenzo--Sefton,2013,JEEA,Published,R
3,2016Kim003,Norms Make Preferences Social,Kimbrough--Vostroknutov,2016,JEEA,Published,Y
4,2014Gne004,Conscience Accounting: Emotion Dynamics and Social Behavior,Gneezy--Imas--Madarász,2014,Management Science,Published,Y
5,2016Car005,Motivating Agents: How Much Does the Mission Matter?,Carpenter--Gong,2016,JOLE,Published,P
6,2012Bur006,A Multimethod Approach to Identifying Norms and Normative Expectations Within a Corporate Hierarchy: Evidence from the Financial Services Industry,Burks--Krupka,2012,Management Science,Published,N
7,2020Kru007,A Meeting of the Minds: Informal Agreements and Social Norms,Krupka--Leider--Jiang,2020,Management Science,Published,N
8,2020Exl008,Knowing When to Ask: The Cost of Leaning In,Exley--Niederle--Vesterlund,2020,JPE,Published,P
9,2016Ban009,On the Interpretation of Bribery in a Laboratory Corruption Game: Moral Frames and Social Norms,Banerjee,2016,EXEX,Published,N
10,2019Coh010,Civic honesty around the globe,Cohn--Maréchal--Tannenbaum--Zünd,2019,Science,Published,N
11,2016Gan011,Social identity and governance: The behavioral response to female leaders,Gangadharan--Jain--Maitra--Vecci,2016,EER,Published,N
12,2016Ban012,"Corruption, norm violation and decay in social capital",Banerjee,2016,JPube,Published,P
13,2017Gac013,The importance of peers for compliance with norms of fair sharing,Gachter--Gerhards--Nosenzo,2017,EER,Published,Y
14,2017DAd014,Do leaders affect ethical conduct?,D'adda--Darai--Pavarini--Weber,2017,JEEA,Published,P
15,2015Erk015,Identifying social norms using coordination games: Spectators vs. stakeholders,Erkut--Nosenzo--Sefton,2015,EcLetters,Published,R
16,2018Bar016,On the social inappropriateness of discrimination,Barr--Lane--Nosenzo,2018,JPube,Published,R
17,2017Ves017,Global Social Norms and Environmental Behavior,Vesely--Klockner,2017,Environment and Behavior,Published,N
18,2015Das018,Only Mine or All Ours: Do Stronger Entitlements Affect Altruistic Choices in the Household,Dasgupta--Mani,2015,World Development,Published,N
19,2018Bau019,Social contagion of ethnic hostility,Bauer--Cahlíková--Chytilová--Želinský,2018,PNAS,Published,Y
20,2016Cha020,Engineering Information Disclosure: Norm Shaping Designs,Chang--Krupka--Adar--Acquisti,2016,Social Media Engagement,Published,N
21,2014Nik021,"Hierarchy, coercion, and exploitation: An experimental analysis",Nikiforakis--Oechssler--Shah,2014,JEBO,Published,P
22,2017Abb022,Peer punishment promotes enforcement of bad social norms,Abbink--Gangadharan--Handfield--Thrasher,2017,Nature Communication,Published,N
23,2016DAd023,Norm elicitation in within-subject designs: Testing for order effects,D'Adda--Drouvelis--Nosenzo,2016,JBEE,Published,R
24,2018Kap024,Uncertainty about the impact of social decisions increases prosocial behavior,Kappes--Nussberger--Faber--Kahane--Savulescu--Crockett,2018,Nature Human Behavior,Published,N
25,2018Fel025,Higher education for sustainability: can education affect moral perceptions?,Felgendreher--Löfgren,2018,Environmental education research,Published,N
26,2019Cha026,Rhetoric matters: A social norms explanation for the anomaly of framing,Chang--Chen--Krupka,2019,GEB,Published,P
27,2019Gar027,Loss aversion and lying behavior,Garbarino--Slonim--Villeval,2019,JEBO,Published,Y
