"","treatment_id","scenarios","subject_id","paper_id","Game_type","choice","A","endowment","female","age","Design","mean_app","sd_app"
"1","2007Lis165_1a",0,"2007Lis165_1a_1","2007Lis165","DG",0,1,5,NA,NA,"Between",-0.916250001639128,0.23688076706134
"2","2007Lis165_1a",0,"2007Lis165_1a_2","2007Lis165","DG",0,1,5,NA,NA,"Between",-0.916250001639128,0.23688076706134
"3","2007Lis165_1a",0,"2007Lis165_1a_8","2007Lis165","DG",0.5,0,5,NA,NA,"Between",-0.916250001639128,0.23688076706134
"4","2007Lis165_1a",0,"2007Lis165_1a_24","2007Lis165","DG",5,0,5,NA,NA,"Between",-0.916250001639128,0.23688076706134
"5","2007Lis165_1a",0,"2007Lis165_1a_13","2007Lis165","DG",1,0,5,NA,NA,"Between",-0.916250001639128,0.23688076706134
"6","2007Lis165_1a",0,"2007Lis165_1a_23","2007Lis165","DG",3,0,5,NA,NA,"Between",-0.916250001639128,0.23688076706134
"7","2007Lis165_1a",0,"2007Lis165_1a_18","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.916250001639128,0.23688076706134
"8","2007Lis165_1a",0,"2007Lis165_1a_6","2007Lis165","DG",0,1,5,NA,NA,"Between",-0.916250001639128,0.23688076706134
"9","2007Lis165_1a",0,"2007Lis165_1a_17","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.916250001639128,0.23688076706134
"10","2007Lis165_1a",0,"2007Lis165_1a_5","2007Lis165","DG",0,1,5,NA,NA,"Between",-0.916250001639128,0.23688076706134
"11","2007Lis165_1a",0,"2007Lis165_1a_21","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.916250001639128,0.23688076706134
"12","2007Lis165_1a",0,"2007Lis165_1a_10","2007Lis165","DG",0.5,0,5,NA,NA,"Between",-0.916250001639128,0.23688076706134
"13","2007Lis165_1a",0,"2007Lis165_1a_20","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.916250001639128,0.23688076706134
"14","2007Lis165_1a",0,"2007Lis165_1a_9","2007Lis165","DG",0.5,0,5,NA,NA,"Between",-0.916250001639128,0.23688076706134
"15","2007Lis165_1a",0,"2007Lis165_1a_3","2007Lis165","DG",0,1,5,NA,NA,"Between",-0.916250001639128,0.23688076706134
"16","2007Lis165_1a",0,"2007Lis165_1a_14","2007Lis165","DG",1,0,5,NA,NA,"Between",-0.916250001639128,0.23688076706134
"17","2007Lis165_1a",0,"2007Lis165_1a_12","2007Lis165","DG",1,0,5,NA,NA,"Between",-0.916250001639128,0.23688076706134
"18","2007Lis165_1a",0,"2007Lis165_1a_19","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.916250001639128,0.23688076706134
"19","2007Lis165_1a",0,"2007Lis165_1a_7","2007Lis165","DG",0,1,5,NA,NA,"Between",-0.916250001639128,0.23688076706134
"20","2007Lis165_1a",0,"2007Lis165_1a_16","2007Lis165","DG",2,0,5,NA,NA,"Between",-0.916250001639128,0.23688076706134
"21","2007Lis165_1a",0,"2007Lis165_1a_22","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.916250001639128,0.23688076706134
"22","2007Lis165_1a",0,"2007Lis165_1a_11","2007Lis165","DG",0.5,0,5,NA,NA,"Between",-0.916250001639128,0.23688076706134
"23","2007Lis165_1a",0,"2007Lis165_1a_4","2007Lis165","DG",0,1,5,NA,NA,"Between",-0.916250001639128,0.23688076706134
"24","2007Lis165_1a",0,"2007Lis165_1a_15","2007Lis165","DG",2,0,5,NA,NA,"Between",-0.916250001639128,0.23688076706134
"25","2007Lis165_1a",0.5,"2007Lis165_1a_23","2007Lis165","DG",3,0,5,NA,NA,"Between",-0.415000006556511,0.426882387347471
"26","2007Lis165_1a",0.5,"2007Lis165_1a_5","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.415000006556511,0.426882387347471
"27","2007Lis165_1a",0.5,"2007Lis165_1a_8","2007Lis165","DG",0.5,1,5,NA,NA,"Between",-0.415000006556511,0.426882387347471
"28","2007Lis165_1a",0.5,"2007Lis165_1a_9","2007Lis165","DG",0.5,1,5,NA,NA,"Between",-0.415000006556511,0.426882387347471
"29","2007Lis165_1a",0.5,"2007Lis165_1a_3","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.415000006556511,0.426882387347471
"30","2007Lis165_1a",0.5,"2007Lis165_1a_2","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.415000006556511,0.426882387347471
"31","2007Lis165_1a",0.5,"2007Lis165_1a_24","2007Lis165","DG",5,0,5,NA,NA,"Between",-0.415000006556511,0.426882387347471
"32","2007Lis165_1a",0.5,"2007Lis165_1a_22","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.415000006556511,0.426882387347471
"33","2007Lis165_1a",0.5,"2007Lis165_1a_7","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.415000006556511,0.426882387347471
"34","2007Lis165_1a",0.5,"2007Lis165_1a_21","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.415000006556511,0.426882387347471
"35","2007Lis165_1a",0.5,"2007Lis165_1a_6","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.415000006556511,0.426882387347471
"36","2007Lis165_1a",0.5,"2007Lis165_1a_4","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.415000006556511,0.426882387347471
"37","2007Lis165_1a",0.5,"2007Lis165_1a_17","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.415000006556511,0.426882387347471
"38","2007Lis165_1a",0.5,"2007Lis165_1a_1","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.415000006556511,0.426882387347471
"39","2007Lis165_1a",0.5,"2007Lis165_1a_11","2007Lis165","DG",0.5,1,5,NA,NA,"Between",-0.415000006556511,0.426882387347471
"40","2007Lis165_1a",0.5,"2007Lis165_1a_14","2007Lis165","DG",1,0,5,NA,NA,"Between",-0.415000006556511,0.426882387347471
"41","2007Lis165_1a",0.5,"2007Lis165_1a_20","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.415000006556511,0.426882387347471
"42","2007Lis165_1a",0.5,"2007Lis165_1a_13","2007Lis165","DG",1,0,5,NA,NA,"Between",-0.415000006556511,0.426882387347471
"43","2007Lis165_1a",0.5,"2007Lis165_1a_15","2007Lis165","DG",2,0,5,NA,NA,"Between",-0.415000006556511,0.426882387347471
"44","2007Lis165_1a",0.5,"2007Lis165_1a_18","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.415000006556511,0.426882387347471
"45","2007Lis165_1a",0.5,"2007Lis165_1a_12","2007Lis165","DG",1,0,5,NA,NA,"Between",-0.415000006556511,0.426882387347471
"46","2007Lis165_1a",0.5,"2007Lis165_1a_16","2007Lis165","DG",2,0,5,NA,NA,"Between",-0.415000006556511,0.426882387347471
"47","2007Lis165_1a",0.5,"2007Lis165_1a_19","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.415000006556511,0.426882387347471
"48","2007Lis165_1a",0.5,"2007Lis165_1a_10","2007Lis165","DG",0.5,1,5,NA,NA,"Between",-0.415000006556511,0.426882387347471
"49","2007Lis165_1a",1,"2007Lis165_1a_24","2007Lis165","DG",5,0,5,NA,NA,"Between",-0.666666666666667,0.556979954871362
"50","2007Lis165_1a",1,"2007Lis165_1a_23","2007Lis165","DG",3,0,5,NA,NA,"Between",-0.666666666666667,0.556979954871362
"51","2007Lis165_1a",1,"2007Lis165_1a_21","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.666666666666667,0.556979954871362
"52","2007Lis165_1a",1,"2007Lis165_1a_5","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.666666666666667,0.556979954871362
"53","2007Lis165_1a",1,"2007Lis165_1a_8","2007Lis165","DG",0.5,0,5,NA,NA,"Between",-0.666666666666667,0.556979954871362
"54","2007Lis165_1a",1,"2007Lis165_1a_22","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.666666666666667,0.556979954871362
"55","2007Lis165_1a",1,"2007Lis165_1a_3","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.666666666666667,0.556979954871362
"56","2007Lis165_1a",1,"2007Lis165_1a_9","2007Lis165","DG",0.5,0,5,NA,NA,"Between",-0.666666666666667,0.556979954871362
"57","2007Lis165_1a",1,"2007Lis165_1a_2","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.666666666666667,0.556979954871362
"58","2007Lis165_1a",1,"2007Lis165_1a_4","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.666666666666667,0.556979954871362
"59","2007Lis165_1a",1,"2007Lis165_1a_13","2007Lis165","DG",1,1,5,NA,NA,"Between",-0.666666666666667,0.556979954871362
"60","2007Lis165_1a",1,"2007Lis165_1a_19","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.666666666666667,0.556979954871362
"61","2007Lis165_1a",1,"2007Lis165_1a_7","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.666666666666667,0.556979954871362
"62","2007Lis165_1a",1,"2007Lis165_1a_14","2007Lis165","DG",1,1,5,NA,NA,"Between",-0.666666666666667,0.556979954871362
"63","2007Lis165_1a",1,"2007Lis165_1a_6","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.666666666666667,0.556979954871362
"64","2007Lis165_1a",1,"2007Lis165_1a_17","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.666666666666667,0.556979954871362
"65","2007Lis165_1a",1,"2007Lis165_1a_11","2007Lis165","DG",0.5,0,5,NA,NA,"Between",-0.666666666666667,0.556979954871362
"66","2007Lis165_1a",1,"2007Lis165_1a_18","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.666666666666667,0.556979954871362
"67","2007Lis165_1a",1,"2007Lis165_1a_16","2007Lis165","DG",2,0,5,NA,NA,"Between",-0.666666666666667,0.556979954871362
"68","2007Lis165_1a",1,"2007Lis165_1a_20","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.666666666666667,0.556979954871362
"69","2007Lis165_1a",1,"2007Lis165_1a_15","2007Lis165","DG",2,0,5,NA,NA,"Between",-0.666666666666667,0.556979954871362
"70","2007Lis165_1a",1,"2007Lis165_1a_1","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.666666666666667,0.556979954871362
"71","2007Lis165_1a",1,"2007Lis165_1a_12","2007Lis165","DG",1,1,5,NA,NA,"Between",-0.666666666666667,0.556979954871362
"72","2007Lis165_1a",1,"2007Lis165_1a_10","2007Lis165","DG",0.5,0,5,NA,NA,"Between",-0.666666666666667,0.556979954871362
"73","2007Lis165_1a",1.5,"2007Lis165_1a_3","2007Lis165","DG",0,0,5,NA,NA,"Between",0.0377777748637729,0.48196934897017
"74","2007Lis165_1a",1.5,"2007Lis165_1a_13","2007Lis165","DG",1,0,5,NA,NA,"Between",0.0377777748637729,0.48196934897017
"75","2007Lis165_1a",1.5,"2007Lis165_1a_23","2007Lis165","DG",3,0,5,NA,NA,"Between",0.0377777748637729,0.48196934897017
"76","2007Lis165_1a",1.5,"2007Lis165_1a_14","2007Lis165","DG",1,0,5,NA,NA,"Between",0.0377777748637729,0.48196934897017
"77","2007Lis165_1a",1.5,"2007Lis165_1a_24","2007Lis165","DG",5,0,5,NA,NA,"Between",0.0377777748637729,0.48196934897017
"78","2007Lis165_1a",1.5,"2007Lis165_1a_22","2007Lis165","DG",2.5,0,5,NA,NA,"Between",0.0377777748637729,0.48196934897017
"79","2007Lis165_1a",1.5,"2007Lis165_1a_11","2007Lis165","DG",0.5,0,5,NA,NA,"Between",0.0377777748637729,0.48196934897017
"80","2007Lis165_1a",1.5,"2007Lis165_1a_21","2007Lis165","DG",2.5,0,5,NA,NA,"Between",0.0377777748637729,0.48196934897017
"81","2007Lis165_1a",1.5,"2007Lis165_1a_12","2007Lis165","DG",1,0,5,NA,NA,"Between",0.0377777748637729,0.48196934897017
"82","2007Lis165_1a",1.5,"2007Lis165_1a_4","2007Lis165","DG",0,0,5,NA,NA,"Between",0.0377777748637729,0.48196934897017
"83","2007Lis165_1a",1.5,"2007Lis165_1a_15","2007Lis165","DG",2,0,5,NA,NA,"Between",0.0377777748637729,0.48196934897017
"84","2007Lis165_1a",1.5,"2007Lis165_1a_1","2007Lis165","DG",0,0,5,NA,NA,"Between",0.0377777748637729,0.48196934897017
"85","2007Lis165_1a",1.5,"2007Lis165_1a_2","2007Lis165","DG",0,0,5,NA,NA,"Between",0.0377777748637729,0.48196934897017
"86","2007Lis165_1a",1.5,"2007Lis165_1a_8","2007Lis165","DG",0.5,0,5,NA,NA,"Between",0.0377777748637729,0.48196934897017
"87","2007Lis165_1a",1.5,"2007Lis165_1a_6","2007Lis165","DG",0,0,5,NA,NA,"Between",0.0377777748637729,0.48196934897017
"88","2007Lis165_1a",1.5,"2007Lis165_1a_19","2007Lis165","DG",2.5,0,5,NA,NA,"Between",0.0377777748637729,0.48196934897017
"89","2007Lis165_1a",1.5,"2007Lis165_1a_7","2007Lis165","DG",0,0,5,NA,NA,"Between",0.0377777748637729,0.48196934897017
"90","2007Lis165_1a",1.5,"2007Lis165_1a_18","2007Lis165","DG",2.5,0,5,NA,NA,"Between",0.0377777748637729,0.48196934897017
"91","2007Lis165_1a",1.5,"2007Lis165_1a_10","2007Lis165","DG",0.5,0,5,NA,NA,"Between",0.0377777748637729,0.48196934897017
"92","2007Lis165_1a",1.5,"2007Lis165_1a_17","2007Lis165","DG",2.5,0,5,NA,NA,"Between",0.0377777748637729,0.48196934897017
"93","2007Lis165_1a",1.5,"2007Lis165_1a_5","2007Lis165","DG",0,0,5,NA,NA,"Between",0.0377777748637729,0.48196934897017
"94","2007Lis165_1a",1.5,"2007Lis165_1a_16","2007Lis165","DG",2,0,5,NA,NA,"Between",0.0377777748637729,0.48196934897017
"95","2007Lis165_1a",1.5,"2007Lis165_1a_20","2007Lis165","DG",2.5,0,5,NA,NA,"Between",0.0377777748637729,0.48196934897017
"96","2007Lis165_1a",1.5,"2007Lis165_1a_9","2007Lis165","DG",0.5,0,5,NA,NA,"Between",0.0377777748637729,0.48196934897017
"97","2007Lis165_1a",2,"2007Lis165_1a_8","2007Lis165","DG",0.5,0,5,NA,NA,"Between",0.132000005245209,0.547414128769619
"98","2007Lis165_1a",2,"2007Lis165_1a_9","2007Lis165","DG",0.5,0,5,NA,NA,"Between",0.132000005245209,0.547414128769619
"99","2007Lis165_1a",2,"2007Lis165_1a_3","2007Lis165","DG",0,0,5,NA,NA,"Between",0.132000005245209,0.547414128769619
"100","2007Lis165_1a",2,"2007Lis165_1a_14","2007Lis165","DG",1,0,5,NA,NA,"Between",0.132000005245209,0.547414128769619
"101","2007Lis165_1a",2,"2007Lis165_1a_24","2007Lis165","DG",5,0,5,NA,NA,"Between",0.132000005245209,0.547414128769619
"102","2007Lis165_1a",2,"2007Lis165_1a_13","2007Lis165","DG",1,0,5,NA,NA,"Between",0.132000005245209,0.547414128769619
"103","2007Lis165_1a",2,"2007Lis165_1a_23","2007Lis165","DG",3,0,5,NA,NA,"Between",0.132000005245209,0.547414128769619
"104","2007Lis165_1a",2,"2007Lis165_1a_21","2007Lis165","DG",2.5,0,5,NA,NA,"Between",0.132000005245209,0.547414128769619
"105","2007Lis165_1a",2,"2007Lis165_1a_6","2007Lis165","DG",0,0,5,NA,NA,"Between",0.132000005245209,0.547414128769619
"106","2007Lis165_1a",2,"2007Lis165_1a_22","2007Lis165","DG",2.5,0,5,NA,NA,"Between",0.132000005245209,0.547414128769619
"107","2007Lis165_1a",2,"2007Lis165_1a_11","2007Lis165","DG",0.5,0,5,NA,NA,"Between",0.132000005245209,0.547414128769619
"108","2007Lis165_1a",2,"2007Lis165_1a_1","2007Lis165","DG",0,0,5,NA,NA,"Between",0.132000005245209,0.547414128769619
"109","2007Lis165_1a",2,"2007Lis165_1a_16","2007Lis165","DG",2,1,5,NA,NA,"Between",0.132000005245209,0.547414128769619
"110","2007Lis165_1a",2,"2007Lis165_1a_4","2007Lis165","DG",0,0,5,NA,NA,"Between",0.132000005245209,0.547414128769619
