-------------------------------------------------------------------------------------------------------------------------------------------------------------
      name:  <unnamed>
       log:  C:\Users\aguido\Documents\GitHub\Social_norm_meta_analysis\Analysis\../prova/output.log
  log type:  text
 opened on:   6 Sep 2023, 08:51:43

. matlist v

             |        c1         c2         c3 
-------------+---------------------------------
          r1 | -3.299943   1.242726   .0079213 
          r2 | -2.149463   1.402129   .1252762 
          r3 | -4.257542   2.202438   .0532233 
          r4 | -2.144262   1.518162   .1578302 
          r5 | -2.941604   1.596726   .0654354 
          r6 | -1.558612   1.993376   .4342761 
          r7 | -2.872758   2.763634   .2985789 
          r8 | -1.828504   1.893268    .334148 
          r9 | -2.182735   1.925704   .2570152 
         r10 | -3.008705   1.401672   .0318322 
         r11 | -2.791714   1.985526   .1597146 
         r12 | -1.931152   .9616354   .0446226 
         r13 | -1.967778   1.699168   .2468301 
         r14 |  -2.25867   1.540171   .1425104 
         r15 | -2.262082   1.252716   .0709585 
         r16 | -2.144686   1.593146   .1782395 
         r17 | -3.062625   1.014955   .0025487 
         r18 |  .6492619   1.755785   .7115431 
         r19 | -2.802437   2.012797   .1638286 
         r20 | -1.563753   1.433113   .2752031 
         r21 | -2.494238   1.199248   .0375406 
         r22 | -1.577641   1.333732   .2368581 
         r23 | -1.767228   1.395641   .2054243 
         r24 | -1.485275   1.924919   .4403491 
         r25 | -2.595765   1.642251   .1139662 
         r26 | -.4037885   1.557469   .7954351 
         r27 |  -2.38297   1.709569   .1633474 
         r28 | -2.888818   1.883137   .1250184 
         r29 |   -3.3606   1.597778   .0354399 
         r30 |  -4.41677   1.781888   .0131861 
         r31 | -1.903987   1.679206   .2568526 
         r32 | -1.961535   1.311707   .1348084 
         r33 | -3.133306   1.867584   .0933993 
         r34 | -1.750945   1.429404    .220595 
         r35 |  -1.95721   1.799932   .2768687 
         r36 | -3.795351   2.103594   .0711965 
         r37 | -2.800721   1.006265   .0053812 
         r38 | -4.371186   1.363035   .0013415 
         r39 |  -.403984   1.875754   .8294777 
         r40 | -2.925718   1.214622   .0160074 
         r41 | -2.667713   1.595065     .09443 
         r42 | -.2438508   1.440657   .8655893 
         r43 | -3.149598   1.280877   .0139348 
         r44 | -2.319636   1.179423   .0492115 
         r45 | -2.746916   1.865993   .1409956 
         r46 | -2.778315   1.006058   .0057521 
         r47 |  -1.09133   2.010323   .5872243 
         r48 | -4.358313   2.016443   .0306654 
